Name,Rating,Review
Thakur Surya Pratap Singh,5,Awesome 😎READ MORE
bijaya mohanty,5,Just go for it.Amazing one.Beautiful camera with super fast processorREAD MORE
Rishabh  Jha,5,Awesome 🔥🔥☺️READ MORE
Ajin V,5,High quality camera😍READ MORE
Nikhil Kumar,5,Switch from OnePlus to iPhone I am stunned with camera performance. Everything is perfect on  iPhone 15.READ MORE
Mousam  Guha Roy,4,Very niceREAD MORE
Akshay Meena,5,"So beautiful, so elegant, just a vowww😍❤️READ MORE"
Flipkart Customer,5,Awesome photography experience. Battery backup is good . Display is much better than 14 version.READ MORE
Prithivi Boruah,5,Camera Quality Is Improved Loving ItREAD MORE
Arunji Govindaraju,5,"Awesome product very happy to hold this. Better In hand feel,matte finish.Good camera, Brighter screen with Dynamic Island, USB-C, great battery life.60Hz display is a dealbreaker for some.Its not much noticeable.Thank u Flipkart for the best deal and quick delivery.READ MORE"
Rahul Shedge,5,Totally happy!Camera 5Battery 5Display 5Design 5READ MORE
Sheetla Prasad Maurya,4,Best mobile phoneCamera quality is very niceBattery backup is very goodSound quality is amazing.READ MORE
Kriti Customer,5,"Just loved the product , colour , design is wow and camera is amazing , just clicked first picture of my grandmother 👵🏻  in portrait mode and results r here in front of you guys 😍😘READ MORE"
Saurabh Gothwad,5,Simply premium.READ MORE
Talim (sk),5,I love this phone. The camera is amazing: its I am so happyREAD MORE
CHETAN  TILWALIA,5,Nice 👌READ MORE
Afzol  Hussain,5,Thanks Flipkart I m glad such a beautiful iPhone 15READ MORE
mohit  yadav,5,Nice ❤️READ MORE
Raj Singh,5,for me its 10 out of 10✨READ MORE
Sandip Mandal,5,Great!READ MORE
VinodKUMAR VinodKUMAR,4,Nice phone goodREAD MORE
AYUSH singh,5,best camera and battery is also very goodIn love with dynamic IslandType-c charging is very fast.Overall best phoneREAD MORE
Flipkart Customer,4,Nice productREAD MORE
Ankit  Verma,4,Awesome camra quality superb camra 😊READ MORE
Suman Jain,5,Simply Awesome 🤩READ MORE
SONAL PAL,5,Awesome phone powerful performance and battery backup are also very good no heating issue ☺️READ MORE
Praveen Kumar,5,This is my first iphone ever used loving it already this is worth it 🥰READ MORE
